Combination of Genres,Average Revenue
Thriller|Action|Comedy|Science Fiction,104391623.0
Horror|Thriller|Crime,104271745.25
Horror|Mystery|Crime,103911669.0
Drama|Fantasy|Western,103800000.0
Fantasy|Drama|Romance,103442009.85714285
Thriller|Science Fiction|Drama|Mystery,103039258.0
Horror|Crime|Mystery|Thriller,102952888.0
Fantasy|Romance|Drama|Comedy,102854431.0
Western|Drama|Crime,102308889.0
Comedy|Science Fiction|Horror|Thriller,102000000.0
Animation|Crime|Mystery|Action|Drama,101860359.0
Comedy|Family|Animation|Adventure,101754687.0
Action|Science Fiction|Adventure|Comedy|Family,101702060.0
Action|Comedy|Crime|Fantasy,101434304.0
Action|Comedy|Fantasy,100921383.75
Drama|Thriller|Mystery|War,100860818.0
Drama|Music|History,100817495.5
Science Fiction|Adventure,100323911.85714285
Family|Fantasy|Science Fiction|Drama,100140916.0
Action|Thriller|Romance,98702789.66666667
Science Fiction|Action,98581871.85714285
Action|Drama|Mystery,98185582.0
Action|Comedy|Thriller|Romance,98159963.0
Family|Adventure|Comedy|Romance,97918663.0
Crime|Thriller|Mystery|Comedy,97644617.0
Adventure|Animation|Fantasy|Family,97571250.0
War|Drama|Action,97350696.25
Action|Fantasy|Science Fiction,96787520.83333333
Thriller|Action|Drama|Crime,96262212.0
Science Fiction|Mystery|Action,96085477.0
Drama|Fantasy|Romance,95889026.66666667
Adventure|Fantasy|Animation|Science Fiction|Family,95836416.5
Fantasy|Action|Adventure|Science Fiction,95800800.0
Action|Drama|Science Fiction|Thriller,95655712.0
Action|Adventure|Mystery|Science Fiction|Thriller,95427515.0
Fantasy|Action|Mystery,95396573.0
War|Action|Adventure|Drama|Thriller,94882889.0
Adventure|Action|Crime|Thriller,94216343.0
Action|History|Adventure|Drama,94061311.0
Family|Action|Adventure|Comedy,93945766.0
Thriller|Drama|Adventure|Action|History,93920758.0
Comedy|Crime|Drama|History,93400823.0
Adventure|Comedy|Fantasy|Family|Horror,93320380.0
Action|Comedy|Crime,92717647.93103448
Action|Comedy|Science Fiction,92100158.18181819
Action|Drama|Thriller|War,91753202.0
Action|Crime|Drama|Thriller,91299075.44827586
Horror|Thriller|Fantasy|Mystery,91188905.0
Comedy|Family|Science Fiction|Adventure,90683916.0
Adventure|Comedy,90628142.8
Mystery|Thriller|Action,90583580.5
Thriller|Action|Crime,90569863.54545455
Animation|Family|Fantasy|Comedy|Adventure|Mystery,90497778.0
Comedy|Adventure|Music,90029656.0
Fantasy|Action|Thriller|Science Fiction,89632602.0
Action|Adventure|Comedy|Western,88323487.0
Music|Comedy|Romance|Fantasy,88092097.0
Action|Science Fiction,88036096.16
Fantasy|Drama|Thriller|Romance,87892388.0
Comedy|Drama|Fantasy,87849640.66666667
Animation|Comedy|Family|Science Fiction,87503830.0
Fantasy|Horror|Comedy,87293039.0
Animation|Fantasy|Action|Adventure,87212911.0
Comedy|Action|Crime,87072419.5
Action|Mystery|Thriller,86812620.2
Comedy|Drama|Music|Romance,86667543.5
Horror|Science Fiction|Mystery,86351161.66666667
Action|Thriller|Crime,85812816.58536585
Mystery|Adventure|Crime,85241496.0
Comedy|Fantasy|Romance,85166020.16666667
Adventure|Action|Fantasy|Science Fiction|Thriller|Romance,85131830.0
Drama|Family|Animation|Adventure|Music,84542002.0
Thriller|Crime,84187633.63157895
Mystery|Fantasy|Adventure|Action,84168923.0
Fantasy|Drama|War,83258226.0
Animation|Family|Science Fiction|Fantasy,83061158.0
Action|Adventure|Drama|Thriller,82923326.875
Comedy|War|Drama,82468705.0
Action|Fantasy|Mystery|Crime,82102379.0
Fantasy|Comedy|Romance,81520632.4
Action|Thriller|War,81272766.0
Crime|Action|Science Fiction,81227658.0
Fantasy|Action|Thriller|Horror,81093313.0
Family|Action|Adventure|Animation|Comedy|Fantasy|Science Fiction,80936232.0
Thriller|Mystery|Science Fiction,80924727.5
Adventure|Action|Comedy|Thriller,80916492.0
Drama|Western,80828023.0
Action|Adventure|Thriller|Drama,80825977.0
Family|Animation|Adventure|Comedy|Fantasy|Action,80767884.0
Comedy|Adventure|Crime|Family,80383290.0
Drama|Science Fiction|Thriller,80371276.0
Animation|Family|Comedy,80291166.04347827
Action|Adventure|Fantasy|Thriller,80049611.0
Action|Adventure|Comedy|Fantasy|Mystery,79817939.0
Drama|Thriller|History,79708985.5
Action|Comedy|Crime|Thriller,79377402.2
Drama|History|Crime,79246004.0
Adventure|Animation|Family,78727354.66666667
Fantasy|Animation|Adventure,78683252.33333333
Science Fiction|Adventure|Action|Comedy|Family,78656813.0
War|Drama|History|Action,78558743.5
Animation|Action|Science Fiction|Drama,78334943.0
Thriller|Mystery,78028781.5909091
Drama|Crime|History,77948468.0
Romance|Comedy|Crime,77946309.0
Drama|Horror|Mystery|Thriller,77802131.4
Fantasy|Horror|Action|Thriller,77505016.0
Drama|Thriller|Action|Adventure,77278331.0
Music|Comedy|Drama|Romance,77211836.0
Science Fiction|Action|War,76932943.0
Adventure|Comedy|Science Fiction,76698388.0
Drama|Mystery|Thriller|Horror,76472330.0
Family|Adventure|Animation|Comedy|Action,76432727.0
Drama|History|Crime|Thriller|Action,76286096.0
Action|Drama|History|War,76281101.66666667
Action|Adventure|Comedy|Fantasy,76000000.0
Comedy|Science Fiction|Action|Adventure,75850624.0
Action|Drama|Fantasy,75798191.66666667
Comedy|Crime|Drama,75240021.58333333
Fantasy|Drama|Horror|Action|Thriller|Science Fiction,75108998.0
War|Action|Drama|History,74937913.5
Comedy|Fantasy|Adventure,74807602.0
Horror|Thriller|Romance|Mystery,74679822.0
Animation|Comedy|Adventure|Family|Science Fiction,74597643.0
Crime|Action|Comedy|Drama,74516441.0
Animation|Family|Science Fiction,74473122.85714285
Science Fiction|Action|Thriller,74429370.5
Comedy|Crime|Action,74350043.0
Action|Thriller|Adventure|Science Fiction,74208267.0
Action|Drama|Thriller,74204595.46875
Action|Fantasy|Thriller,74154234.0
Fantasy|Action|Thriller,73946701.66666667
Drama|Adventure,73807761.8
Action|Adventure|Drama,73623107.9
Thriller|Drama|Mystery,73167744.33333333
Adventure|Drama|War,73062751.33333333
Action|Comedy|Documentary,72778712.0
Adventure|Drama|Family,72635675.33333333
Adventure|Fantasy|Animation|Family,72602306.0
War|Drama|Action|History,72539540.0
